iter	Passed	Remaining
466	718	819
467	719	817
468	720	815
469	721	813
470	722	811
471	723	809
472	724	807
473	726	805
474	727	803
475	728	801
476	732	802
477	733	801
478	735	799
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	785
486	743	783
487	745	781
488	746	780
489	747	778
490	748	776
491	749	773
492	750	771
493	751	769
494	752	767
495	753	765
496	754	763
497	754	760
498	755	758
499	756	756
500	757	754
501	759	753
502	760	751
503	761	749
504	762	747
505	763	745
506	764	743
507	765	741
508	766	739
509	767	737
510	768	735
511	769	733
512	770	731
513	771	729
514	772	727
515	774	726
516	775	724
517	776	722
518	777	720
519	778	718
520	779	717
521	780	715
522	781	713
523	782	710
524	783	708
525	784	706
526	785	704
527	786	702
528	787	701
529	788	699
530	790	698
531	791	696
532	792	694
533	793	692
534	795	691
535	796	689
536	797	687
537	797	685
538	798	683
539	799	681
540	800	679
541	801	677
542	803	675
543	804	674
544	805	672
545	806	670
546	807	668
547	808	666
548	809	665
549	810	663
550	811	661
551	812	659
552	813	657
553	814	655
554	814	653
555	815	651
556	816	649
557	818	648
558	819	646
559	820	644
560	821	643
561	822	641
562	823	639
563	824	637
564	825	635
565	826	633
566	827	631
567	828	629
568	828	627
569	829	626
570	830	624
571	832	622
572	833	621
573	834	619
574	835	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	606
581	842	604
582	842	602
583	843	601
584	844	599
585	845	597
586	847	596
587	848	594
588	849	592
589	850	590
590	851	589
591	852	587
592	853	585
593	854	584
594	855	582
595	856	580
596	857	578
597	858	577
598	859	575
599	861	574
600	863	573
601	865	571
602	866	570
603	867	568
604	868	566
605	869	565
606	870	563
607	872	562
608	873	560
609	874	559
610	876	557
611	877	556
612	878	554
613	880	553
614	880	551
615	881	549
616	883	548
617	884	546
618	884	544
619	885	542
620	886	541
621	887	539
622	888	537
623	890	536
624	891	534
625	892	533
626	893	531
627	894	529
628	895	528
629	896	526
630	897	524
631	898	523
632	899	521
633	900	519
634	901	517
635	902	516
636	904	515
637	905	513
638	906	512
639	907	510
640	908	509
641	909	507
642	910	505
643	911	504
644	912	502
645	913	500
646	914	498
647	915	497
648	916	495
649	917	494
650	919	492
651	920	491
652	921	489
653	922	488
654	923	486
655	924	485
656	925	483
657	926	481
658	927	480
659	928	478
660	929	476
661	930	475
662	931	473
663	933	472
664	934	470
665	936	469
666	937	468
667	938	466
668	939	464
669	940	463
670	941	461
671	942	459
672	943	458
673	943	456
674	944	454
675	945	453
676	947	451
677	948	450
678	950	449
679	951	447
680	952	446
681	953	444
682	954	442
683	955	441
684	956	439
685	956	438
686	957	436
687	958	434
688	959	433
689	960	431
690	961	429
691	963	428
692	964	427
693	966	425
694	966	424
695	967	422
696	968	421
697	969	419
698	970	418
699	971	416
700	972	414
701	973	413
702	974	411
703	975	409
704	976	408
705	977	407
706	979	405
707	980	404
708	981	402
709	982	401
710	983	399
711	983	398
712	984	396
713	985	394
714	986	393
715	987	391
716	989	390
717	990	389
718	991	387
719	992	386
720	993	384
721	994	382
722	995	381
723	996	379
724	997	378
725	998	376
726	999	375
727	999	373
728	1000	372
729	1001	370
730	1002	368
731	1004	367
732	1005	366
733	1007	364
734	1008	363
735	1009	361
736	1010	360
737	1011	358
738	1012	357
739	1013	356
740	1014	354
741	1015	353
742	1016	351
743	1019	350
744	1022	350
745	1023	348
746	1024	347
747	1026	345
748	1026	344
749	1027	342
750	1028	341
751	1029	339
752	1030	338
753	1031	336
754	1032	335
755	1033	333
756	1035	332
757	1036	330
758	1037	329
759	1038	327
760	1039	326
761	1040	324
762	1041	323
763	1041	321
764	1042	320
765	1043	318
766	1044	317
767	1045	315
768	1046	314
769	1047	312
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1055	302
777	1056	301
778	1057	299
779	1057	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	291
785	1064	289
786	1065	288
787	1066	286
788	1067	285
789	1068	283
790	1069	282
791	1070	281
792	1071	279
793	1071	278
794	1072	276
795	1073	275
796	1074	273
797	1075	272
798	1076	270
799	1078	269
800	1080	268
801	1081	266
802	1082	265
803	1083	264
804	1083	262
805	1084	261
806	1085	259
807	1086	258
808	1087	256
809	1088	255
810	1089	253
811	1089	252
812	1091	251
813	1093	249
814	1094	248
815	1096	247
816	1097	245
817	1098	244
818	1098	242
819	1099	241
820	1100	239
821	1101	238
822	1102	237
823	1103	235
824	1104	234
825	1105	232
826	1106	231
827	1107	230
828	1109	228
829	1110	227
830	1111	226
831	1112	224
832	1113	223
833	1114	221
834	1115	220
835	1116	218
836	1117	217
837	1117	216
838	1118	214
839	1119	213
840	1120	211
841	1121	210
842	1123	209
843	1124	207
844	1125	206
845	1126	205
846	1127	203
847	1128	202
848	1128	200
849	1129	199
850	1130	197
851	1131	196
852	1132	195
853	1133	193
854	1133	192
855	1135	190
856	1136	189
857	1137	188
858	1139	186
859	1140	185
860	1141	184
861	1141	182
862	1142	181
863	1143	180
864	1144	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1149	171
870	1151	170
871	1152	169
872	1153	167
873	1154	166
874	1155	165
875	1156	163
876	1157	162
877	1158	160
878	1159	159
879	1160	158
880	1161	156
881	1162	155
882	1163	154
883	1166	153
884	1168	151
885	1170	150
886	1171	149
887	1172	147
888	1173	146
889	1174	145
890	1175	143
891	1175	142
892	1176	140
893	1177	139
894	1178	138
895	1179	136
896	1181	135
897	1182	134
898	1183	132
899	1184	131
900	1185	130
901	1186	128
902	1187	127
903	1188	126
904	1188	124
905	1189	123
906	1190	122
907	1191	120
908	1192	119
909	1193	118
910	1194	116
911	1195	115
912	1196	114
913	1197	112
914	1198	111
915	1199	110
916	1200	108
917	1201	107
918	1202	105
919	1203	104
920	1204	103
921	1204	101
922	1205	100
923	1206	99
924	1207	97
925	1208	96
926	1209	95
927	1210	93
928	1212	92
929	1213	91
930	1214	89
931	1214	88
932	1215	87
933	1216	85
934	1217	84
935	1218	83
936	1219	81
937	1220	80
938	1220	79
939	1221	77
940	1222	76
941	1224	75
942	1225	74
943	1226	72
944	1227	71
945	1228	70
946	1229	68
947	1230	67
948	1231	66
949	1232	64
950	1233	63
951	1233	62
952	1234	60
953	1235	59
954	1236	58
955	1237	56
956	1239	55
957	1240	54
958	1241	53
959	1242	51
960	1243	50
961	1244	49
962	1245	47
963	1246	46
964	1246	45
965	1247	43
966	1248	42
967	1249	41
968	1250	39
969	1251	38
970	1251	37
971	1252	36
972	1255	34
973	1256	33
974	1257	32
975	1258	30
976	1259	29
977	1260	28
978	1261	27
979	1262	25
980	1262	24
981	1263	23
982	1264	21
983	1265	20
984	1266	19
985	1267	17
986	1269	16
987	1270	15
988	1271	14
989	1273	12
990	1273	11
991	1274	10
992	1275	8
993	1276	7
994	1277	6
995	1278	5
996	1279	3
997	1280	2
998	1280	1
999	1281	0
